time,FLOW,SALT,TEMP,PHS_frp,PHS_frp_ads,OGM_dop,OGM_pop,OGM_don,NIT_amm,NIT_nit,OGM_docr,CAR_dic,CAR_pH,SIL_rsi,ZOO_daphnia
2009-01-01 00:00:00,0.686387,0,1.680352,1.9606,6.505,2.537,2.0068,49.4475,91.0584,494.4754,583.3333,5000,7.7,190,0
2009-01-02 00:00:00,0.578332,0,1.578898,1.8418,6.1107,2.3832,1.8851,48.7322,88.3754,487.3219,583.3333,5000,7.7,190,0
2009-01-03 00:00:00,0.487183,0,1.482455,1.7365,5.7615,2.247,1.7774,48.0613,85.9305,480.613,583.3333,5000,7.7,190,0
2009-01-04 00:00:00,0.450709,0,1.398597,1.6665,5.5292,2.1564,1.7058,47.6435,84.2997,476.4349,583.3333,5000,7.7,190,0
2009-01-05 00:00:00,0.402038,0,1.316989,1.597,5.2986,2.0664,1.6346,47.1864,82.6386,471.8638,583.3333,5000,7.7,190,0
2009-01-06 00:00:00,0.368122,0,1.242642,1.5424,5.1173,1.9957,1.5787,46.8279,81.3281,468.2792,583.3333,5000,7.7,190,0
2009-01-07 00:00:00,0.329352,0,1.171709,1.4905,4.9454,1.9287,1.5256,46.4609,80.0638,464.6089,583.3333,5000,7.7,190,0
2009-01-08 00:00:00,0.263772,0,1.098437,1.426,4.7313,1.8452,1.4596,45.9298,78.4211,459.2981,583.3333,5000,7.7,190,0
2009-01-09 00:00:00,0.215028,0,1.03127,1.372,4.5519,1.7753,1.4043,45.4646,77.0276,454.6457,583.3333,5000,7.7,190,0
2009-01-10 00:00:00,0.315186,0,1.008883,1.4261,4.7317,1.8454,1.4597,46.0988,78.6599,460.988,583.3333,5000,7.7,190,0
2009-01-11 00:00:00,0.300948,0,0.961248,1.4064,4.6663,1.8198,1.4395,45.9497,78.2281,459.4968,583.3333,5000,7.7,190,0
2009-01-12 00:00:00,0.251977,0,0.907374,1.3631,4.5224,1.7637,1.3952,45.5295,77.1211,455.2953,583.3333,5000,7.7,190,0
